up,n,k,gap,down
0.5,0.8,50,24,1.44
0.5,0.6,200,32,0.87
0.5,0.2,150,40,0.47
0.5,0.5,100,48,0.4
0.5,0.4,10,56,0.09
0.7,0.5,200,24,1.49
0.7,0.4,100,32,1.06
0.7,0.6,50,40,0.9
0.7,0.2,10,48,0.46
0.7,0.8,150,56,0.42
1,0.2,100,24,1.43
1,0.8,10,32,1.9
1,0.4,200,40,1.17
1,0.6,150,48,0.91
1,0.5,50,56,0.4
1.3,0.6,10,24,2.93
1.3,0.5,150,32,2.15
1.3,0.8,100,40,1.78
1.3,0.4,50,48,1.24
1.3,0.2,200,56,0.16
1.5,0.4,150,24,2.81
1.5,0.2,50,32,1.77
1.5,0.5,10,40,1.76
1.5,0.8,200,48,1.48
1.5,0.6,100,56,0.74
